# Per-Fact Detail Report — Run: 20260401_040014_891022
# Generated: 2026-04-01 07:33:56 UTC
# 
# Column Descriptions:
#   fact_id                — Unique identifier for the ground truth fact
#   company                — Company name (DBS, OCBC, UOB, Singtel, CapitaLand)
#   metric                 — Financial metric being tested
#   category               — Metric category (profitability, capital, etc.)
#   difficulty             — Fact difficulty level (easy, medium, hard)
#   template               — Prompt template used for this evaluation group
#   temperature            — Sampling temperature used
#   n_runs                 — Number of API calls in this evaluation group
#   semantic_score         — Semantic consistency (0-1): cosine similarity of response embeddings
#   factual_score          — Factual consistency (0-1): fraction of runs matching modal extracted value
#   hallucination_rate     — Fraction of extracted values outside tolerance of ground truth
#   extraction_failure_rate — Fraction of responses where numeric extraction returned null
#   modal_value            — Most commonly extracted numeric value across runs
#   ground_truth           — Expected value from verified annual report
#   composite_stability    — Weighted combination of scores (see config for weights)
#   flag                   — Traffic-light indicator based on composite_stability
# 
# Flagging Thresholds:
#   🟢 Green  — composite_stability >= 0.75
#   🟡 Yellow — composite_stability >= 0.5
#   🔴 Red    — composite_stability <  0.5
# 
# Scoring Weights:
#   semantic_consistency: 0.3
#   factual_consistency:  0.4
#   hallucination_rate:   0.3
#   hallucination_tolerance: 0.05 (5% relative)
#
fact_id,company,metric,category,difficulty,template,temperature,n_runs,semantic_score,factual_score,hallucination_rate,extraction_failure_rate,modal_value,ground_truth,composite_stability,flag
capitaland_fy2024_aum,CapitaLand,Assets Under Management,aum,easy,comparative,0.0,10,0.9866536259651184,0.0,1.0,1.0,,136.0,0.2959960877895355,🔴
capitaland_fy2024_aum,CapitaLand,Assets Under Management,aum,easy,comparative,0.3,10,0.8656892776489258,0.25,1.0,0.6,128.5,136.0,0.35970678329467776,🔴
capitaland_fy2024_aum,CapitaLand,Assets Under Management,aum,easy,comparative,0.5,10,0.9065770506858826,0.125,0.9,0.2,96.1,136.0,0.35197311520576474,🔴
capitaland_fy2024_aum,CapitaLand,Assets Under Management,aum,easy,comparative,0.7,10,0.9764647483825684,0.1,1.0,0.0,126.4,136.0,0.33293942451477054,🔴
capitaland_fy2024_aum,CapitaLand,Assets Under Management,aum,easy,comparative,1.0,10,0.8882982730865479,0.125,0.9,0.2,122.9,136.0,0.3464894819259643,🔴
capitaland_fy2024_aum,CapitaLand,Assets Under Management,aum,easy,contextual_extraction,0.0,10,1.0,1.0,0.0,0.0,136.0,136.0,1.0,🟢
capitaland_fy2024_aum,CapitaLand,Assets Under Management,aum,easy,contextual_extraction,0.3,10,0.9951930642127991,1.0,0.0,0.0,136.0,136.0,0.9985579192638399,🟢
capitaland_fy2024_aum,CapitaLand,Assets Under Management,aum,easy,contextual_extraction,0.5,10,0.9914544224739075,1.0,0.0,0.0,136.0,136.0,0.9974363267421722,🟢
capitaland_fy2024_aum,CapitaLand,Assets Under Management,aum,easy,contextual_extraction,0.7,10,1.0,1.0,0.0,0.0,136.0,136.0,1.0,🟢
capitaland_fy2024_aum,CapitaLand,Assets Under Management,aum,easy,contextual_extraction,1.0,10,0.9914543032646179,1.0,0.0,0.0,136.0,136.0,0.9974362909793855,🟢
capitaland_fy2024_aum,CapitaLand,Assets Under Management,aum,easy,direct_extraction,0.0,10,1.0,1.0,1.0,0.0,676.0,136.0,0.7,🟡
capitaland_fy2024_aum,CapitaLand,Assets Under Management,aum,easy,direct_extraction,0.3,10,0.8517599105834961,0.3,1.0,0.0,676.0,136.0,0.3755279731750488,🔴
capitaland_fy2024_aum,CapitaLand,Assets Under Management,aum,easy,direct_extraction,0.5,10,0.8402712345123291,0.2,1.0,0.0,676.0,136.0,0.3320813703536987,🔴
capitaland_fy2024_aum,CapitaLand,Assets Under Management,aum,easy,direct_extraction,0.7,10,0.7926108241081238,0.1,1.0,0.0,683.4,136.0,0.27778324723243714,🔴
capitaland_fy2024_aum,CapitaLand,Assets Under Management,aum,easy,direct_extraction,1.0,10,0.7394393682479858,0.1,0.9,0.0,168.0,136.0,0.2918318104743957,🔴
